UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
MG;FERROS;312590;JAN/2025;3/12;ESTRATO 1;BOM;BOM;5;4;4;4;4;0;0;0;R$ 72.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 120.000,00 ;R$ 0,00 
MG;FERVEDOURO;312595;JAN/2025;3/12;ESTRATO 3;BOM;BOM;5;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;FLORESTAL;312600;JAN/2025;3/12;ESTRATO 3;BOM;BOM;4;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;FORMIGA;312610;JAN/2025;3/12;ESTRATO 4;BOM;BOM;35;19;19;19;19;0;0;0;R$ 228.000,00 ;R$ 114.000,00 ;R$ 114.000,00 ;R$ 0,00 ;R$ 456.000,00 ;R$ 0,00 
MG;FORMOSO;312620;JAN/2025;3/12;ESTRATO 2;BOM;BOM;4;4;4;4;4;0;0;0;R$ 64.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 112.000,00 ;R$ 0,00 
MG;FORTALEZA DE MINAS;312630;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;FORTUNA DE MINAS;312640;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;FRANCISCO BADARO;312650;JAN/2025;3/12;ESTRATO 2;BOM;BOM;4;5;5;5;5;0;0;0;R$ 80.000,00 ;R$ 30.000,00 ;R$ 30.000,00 ;R$ 0,00 ;R$ 140.000,00 ;R$ 0,00 
MG;FRANCISCO DUMONT;312660;JAN/2025;3/12;ESTRATO 2;BOM;BOM;2;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;FRANCISCO SA;312670;JAN/2025;3/12;ESTRATO 2;BOM;BOM;12;10;10;10;10;0;0;0;R$ 160.000,00 ;R$ 60.000,00 ;R$ 60.000,00 ;R$ 0,00 ;R$ 280.000,00 ;R$ 0,00 
MG;FRANCISCOPOLIS;312675;JAN/2025;3/12;ESTRATO 2;BOM;BOM;3;2;2;2;2;0;0;0;R$ 32.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 56.000,00 ;R$ 0,00 
MG;FREI GASPAR;312680;JAN/2025;3/12;ESTRATO 2;BOM;BOM;3;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;FREI INOCENCIO;312690;JAN/2025;3/12;ESTRATO 3;BOM;BOM;4;5;5;5;5;0;0;0;R$ 70.000,00 ;R$ 30.000,00 ;R$ 30.000,00 ;R$ 0,00 ;R$ 130.000,00 ;R$ 0,00 
MG;FREI LAGONEGRO;312695;JAN/2025;3/12;ESTRATO 2;BOM;BOM;2;2;2;2;1;0;1;0;R$ 24.000,00 ;R$ 9.000,00 ;R$ 9.000,00 ;R$ 0,00 ;R$ 42.000,00 ;R$ 0,00 
MG;FRONTEIRA;312700;JAN/2025;3/12;ESTRATO 3;BOM;BOM;7;5;5;5;5;0;0;0;R$ 70.000,00 ;R$ 30.000,00 ;R$ 30.000,00 ;R$ 0,00 ;R$ 130.000,00 ;R$ 0,00 
